¿¤¥«,§Ç¸¹,¤p¦Y¦WºÙ,¥D­¹§÷/¥D¨ý,¨¯­»®Æ,Âæ®Æ/´ö©³,ªo­»/¸üÅé,²M­»/¦¬§À,§g,¦Ú,¦õ,¨Ï,«ØÄ³­»®ð°t¤ñ,¥DÃD,¤ä¼µ,­×¹¢,²M«G,¦¬§À,«e½Õ,¤¤½Õ,«á½Õ,­·¨ý­·ÀI/­×¥¿´£¿ô,¸ê®Æ¨Ó·½/°Ñ¦ÒURL
°ò¶©¥«,1,¹©Ãä¾V,¦Ì¼ß¤ù¡B®üÂA´ö¡B¦×Ã¼,¥Õ­J´Ô¡B»[¶p,°ª´öÄÐÂA,ªo½µ,ªàµæ,®üÂA´ö©³,¦Ì¼ß¤ù»P¦×Ã¼,¥Õ­J´Ô¡B»[¶p,ªàµæªo½µ,®üÂA40%¡B¥Õ­J´Ô15%¡B»[¶p15%¡Bªo½µ15%¡Bªàµæ15%,5,3,3,4,2,4,3,2,®ü¨ý¤£¯à³Q­J´Ô»\±¼,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
°ò¶©¥«,2,¼q¤f¤Ñ°üÃ¹,³½¼ß²¢¤£»¶,¥Õ­J´Ô¡B»[,²¢»¶Âæ,¬µªo,¤p¶À¥Ê,³½¼ß¼u©Ê,²¢»¶Âæ»P¬µ­»,¥Õ­J´Ô¡B»[,¤p¶À¥Ê²M¤f,³½¼ß45%¡B²¢»¶Âæ25%¡B¬µ­»15%¡B¥Õ­J´Ô10%¡B²M¤f5%,5,3,2,2,2,3,3,2,²¢»¶Âæ¹L­«·|»\³½¼ß,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
°ò¶©¥«,3,Àç¾i¤T©úªv,¬µÄÑ¥]¡B¤õ»L¡B³J¡B¶À¥Ê,­J´Ô,¬ü¤D´þ,¬µªo,µf­X/¶À¥Ê,¬µÄÑ¥]»PÀ`®Æ,¬ü¤D´þ»P³J­»,­J´Ô,½­µæ²M²n,¬µÄÑ¥]35%¡BÀ`®Æ30%¡B¬ü¤D´þ20%¡B­J´Ô5%¡B½­µæ10%,4,4,2,3,3,3,4,2,ªo¯×¹L¦h·|¿°,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
°ò¶©¥«,4,¿ÀÃÉÃ¼,ÃÉ¦×Ã¼¡Bµ«µ·,¥Õ­J´Ô¡B»[¶p,Ã¼´ö,ªo½µ,­»µæ/ªàµæ,ÃÉÃ¼ÂA¨ý,Ã¼´ö»Pµ«µ·,­J´Ô»[¶p,­»µæªàµæ,®üÂA35%¡BÃ¼´ö30%¡B¥Õ­J´Ô10%¡B»[¶p10%¡B²M­»15%,5,4,3,3,2,3,4,2,¤ÄÍÀ«p«×¤Ó°ª·|¶w,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
°ò¶©¥«,5,ªwªw¦B,¦B¬â¡BªG¿}/¤ôªG,¤Ö¶q»Ä­»,¿}¼ß,µL,¤ôªG»Ä­»,¦B¬â¤f·P,¿}¼ß,»Ä­»,¤ôªG²M­»,¦B¬â40%¡B¤ôªG/¿}¼ß40%¡B»Ä­»10%¡B²M­»10%,4,2,2,5,1,5,2,1,²¢«×¹L°ª·|¥¢¥h²M²n,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
¥x¥_¥«,1,­J´Ô»æ,½Þ¦×À`¡B½µ¡B»æ¥Ö,¶Â­J´Ô¡B¥Õ­J´Ô¡B¤­­»,Âæªo¡B¿},Äl¯Nªo­»,½µ,­J´Ô¨¯­»»P¦×À`,½µ»P»æ¥Ö,¤­­»Âæªo,Äl¯NµJ­»,¶Â­J´Ô35%¡B¥Õ­J´Ô20%¡B½µ­»20%¡B¤­­»10%¡BÂæªo²¢ÄÐ15%,5,4,4,2,4,4,4,4,­J´Ô¹L¶q·|¦y»¶,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¥_¥«,2,º±¦×¶º,½Þ¦×Àê¡B¥Õ¶º,¤­­»¡B¥Õ­J´Ô,Âæªo¡B¦B¿},½Þªo/¬õ½µªo,¾MÅÚ½³/­»µæ,º±¦×Àê,¥Õ¶º»Pº±¥Ä,¤­­»­J´Ô,¬õ½µªo,¦×Àê40%¡BÂæªo25%¡B¬õ½µªo15%¡B¤­­»10%¡B¿}­»10%,5,4,3,1,5,2,4,5,ªo¯×»P¿}­»­n¥­¿Å,https://eng.taiwan.net.tw/m1.aspx?sNo=0002040
¥x¥_¥«,3,¤û¦×ÄÑ,¤û¦×¡BÄÑ¡B´ö,¤K¨¤¡B®Û¥Ö¡Bªá´Ô¡BÁ¤½µ,¨§Ã¤/Âæªo,¤ûªo,»Äµæ/½µªá,¤û¦×´ö,ÄÑÅé,¨¯­»®Æ»P¨§Ã¤,»Äµæ½µªá,¤û¦×35%¡B´ö©³30%¡B¤K¨¤®Û¥Ö15%¡B¨§Ã¤10%¡B»Äµæ10%,5,5,4,2,5,2,4,5,¨¯­»¤Ó­«·|À£¤û¦×,https://eng.taiwan.net.tw/m1.aspx?sNo=0002040
¥x¥_¥«,4,³H¥J·Î,³H¥J¡B³J¡B¯»¼ß,»[ªd¡B¥Õ­J´Ô,²¢»¶Âæ,·Îªo,«Cµæ,³H¥JÂA¨ý,³J»P¯»¼ß,»[ªd­J´Ô,²¢»¶Âæ¾É¨ý,³H¥J35%¡B³J¯»¼ß25%¡B²¢»¶Âæ25%¡B»[ªd10%¡B­J´Ô5%,5,3,3,3,2,3,4,2,Âæ¤£¥i¹L²¢¹L«p,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
¥x¥_¥«,5,¤Â¥],º±¤­ªá¡B»Äµæ¡Bªá¥Í¯»,¤­­»¡B­J´Ô,º±¥Ä,½Þªo,­»µæ»Äµæ,º±¦×,³Î¥]»Pªá¥Í¯»,¤­­»­J´Ô,»Äµæ­»µæ,º±¦×35%¡Bªá¥Í¯»20%¡B»Äµæ20%¡B¤­­»10%¡B­»µæ15%,5,4,3,3,4,3,4,4,ªá¥Í¯»¹L¦h·|²¢¿°,https://eng.taiwan.net.tw/m1.aspx?sNo=0002040
·s¥_¥«,1,²`§|¯ä¨§»G,µo»Ã¨§»G,»[¡B»¶´Ô,Âæªo»I,¬µªo/º±¥Ä,ªwµæ,¯ä¨§»Gµo»Ã­»,Âæªo»I,»[»¶,ªwµæ»Ä­»,µo»Ã¨§­»40%¡B»[20%¡B»¶´Ô10%¡BÂæªo»I15%¡Bªwµæ15%,5,3,4,3,4,3,4,5,»[»¶­n¥­¿Åµo»Ã¨ý,https://www.taiwan.net.tw/m1.aspx?sNo=0000072
·s¥_¥«,2,²H¤ôªüµ¹,ªo¨§»G¡B¯»µ·¡B³½¼ß,¥Õ­J´Ô¡B»[,²¢»¶Âæ,ªo¨§»Gªo­»,¤p¶À¥Ê/­»µæ,ªo¨§»G»P¯»µ·,³½¼ß«Ê¤f,­J´Ô»[,²¢»¶Âæ,¨§»G¯»µ·35%¡B³½¼ß20%¡B²¢»¶Âæ25%¡B­J´Ô10%¡B²M¤f10%,5,4,3,2,3,2,4,3,Âæ¤Ó«p·|»\¨§­»,https://www.taiwan.net.tw/m1.aspx?sNo=0001040
